city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)"
Paris,17.271157167530223,80.59873344847438,13.81692573402418,8.059873344847437,3.86873920552677,5.054691997697178,4.513529073114565,2.8670120898100175,1.577432354634427,2.130109383995394,2.7864133563615425,5.1237766263673,25.043177892918823,15.854922279792746,21.784686240644792,3.454231433506045,2.4409902130109384,2.9706390328151984,3.9032815198618307,2.1070811744386875,2.4755325273459987,1.8537708693149109,0.8405296488198042,9.211283822682786,2.5906735751295336,14.968336211859526,2.8785261945883707,103.62694300518135,9.211283822682786,1.8422567645365573,47.2769142199194,2.0840529648819803,35578.583765112264,36648.43983880253,267.11571675302247,16.488198042602185,32.05526770293609,42.832469775474955,19.80426021876799,16.119746689694875,1477.8353483016695,24497.052389176737,111.07656879677604,49.09614277489925,116.53425446171559,157.74323546344272,1565.0777202072538,1180.4375359815774,3444.6401842256764,2325.8491652274033,14366.804835924006,9539.953943580887,3864.3868739205523,3.29
London,26.917900403768506,107.67160161507402,11.440107671601615,8.748317631224765,4.0511440107671595,5.437415881561238,3.041722745625841,2.180349932705249,1.80349932705249,2.193808882907133,2.3014804845222074,4.966352624495289,11.036339165545087,9.502018842530282,17.98115746971736,3.2301480484522207,1.6150740242261103,2.8802153432032305,3.3109017496635262,1.5343203230148048,1.7227456258411844,1.5074024226110365,1.6823687752355316,13.458950201884253,3.3512786002691795,23.88963660834455,4.508748317631225,269.17900403768505,5.652759084791387,3.3647375504710633,51.14401076716016,1.8842530282637953,38889.63660834455,41112.18034993271,386.71601615074024,16.379542395693136,42.36877523553163,79.0578734858681,25.908479138627186,20.18842530282638,2467.5370121130554,30412.799461641993,120.06729475100941,53.83580080753701,120.25572005383579,142.66487213997308,2977.792732166891,2315.4374158815613,5063.122476446837,3860.6460296096907,19344.939434724092,10359.596231493944,4953.633916554509,4.69
Amsterdam,23.028209556706965,92.11283822682786,15.5440414507772,6.90846286701209,3.4312032239493377,4.5480713874496255,3.9493379389752445,3.1894070236039145,1.7731721358664363,2.7403569372481287,3.0166954519286127,5.457685664939551,14.8762233736327,14.507772020725387,24.018422567645363,3.511801957397812,2.8094415659182497,2.4525043177892916,4.0069084628670115,2.130109383995394,1.5428900402993668,1.4162348877374784,1.577432354634427,6.90846286701209,1.957397812320092,14.968336211859526,3.914795624640184,109.38399539435808,4.778353483016695,3.454231433506045,46.05641911341393,2.2797927461139893,42590.673575129535,39331.22625215889,296.9257340241796,22.78641335636154,56.68393782383419,59.5048934945308,36.776050662061024,17.271157167530223,2957.547495682211,20430.051813471502,94.07023603914796,48.57800805987334,111.7559009786989,123.45423143350604,2539.746689694876,1902.1301093839952,3957.3402417961997,2996.6954519286123,10730.48934945308,7231.9631548647085,5091.5947035118015,3.41
Barcelona,17.271157167530223,69.08462867012089,13.81692573402418,4.605641911341393,2.5561312607944733,3.0166954519286127,2.6482440990213005,1.8652849740932642,1.2320092112838228,1.9804260218767988,1.8192285549798504,4.732297063903282,15.417386298215314,8.762233736327001,18.042602187679908,3.051237766263673,2.1416234887737478,2.176165803108808,2.8209556706966032,2.1070811744386875,1.9228554979850314,1.5198618307426597,0.8635578583765112,7.484168105929763,1.3932066781807713,7.196315486470927,3.051237766263673,25.331030512377662,3.454231433506045,2.1416234887737478,34.48474381116868,1.7501439263097294,36269.43005181347,31778.92918825561,180.4145077720207,18.65284974093264,37.99654576856649,56.83362118595279,20.149683362118594,11.514104778353483,764.7783534830166,16060.414507772019,82.76338514680482,37.66263672999424,104.34081750143926,113.8629821531376,1670.4432930339665,1276.8221070811744,2605.641911341393,1969.3955094991363,6974.277489925158,4838.802533103051,2382.383419689119,3.24
Madrid,17.271157167530223,69.08462867012089,12.089810017271157,4.029936672423719,2.4064478986758777,2.982153137593552,3.166378814047208,2.0379965457685665,1.266551525618883,1.5659182498560738,1.8767990788716176,3.9608520437535977,19.14795624640184,9.142199194012665,18.871617731721358,2.7864133563615425,2.4985607369027054,2.694300518134715,2.890040299366724,2.118595279217041,2.2337363270005755,1.4047207829591248,1.0132412204951065,8.635578583765112,1.4507772020725387,6.90846286701209,1.7271157167530224,40.29936672423719,3.6845135290731146,1.5544041450777202,29.648819804260217,1.8192285549798504,34542.314335060444,32807.51871042026,203.5578583765112,18.733448474381117,34.09326424870466,51.629245826137016,16.649395509499136,11.514104778353483,703.0397236614854,17637.305699481865,101.45077720207253,40.241796200345426,104.72078295912493,120.5641911341393,1461.8767990788717,1153.3333333333333,2787.3805411629246,1810.0402993667242,9167.138744962578,4577.800805987335,2556.9257340241797,3.17
Rome,17.271157167530223,69.08462867012089,11.514104778353483,5.757052389176741,2.8094415659182497,2.291306850892343,2.8439838802533104,1.5198618307426597,1.8307426597582037,2.04951065054692,3.0627518710420265,4.89349453080023,17.086931491076566,11.997697179044328,20.138169257340238,2.6137017846862407,2.3488773747841103,2.4525043177892916,2.245250431778929,1.7156016119746689,1.911341393206678,1.3471502590673574,0.5641911341393206,4.605641911341393,1.600460564191134,7.1387449625791595,1.7271157167530224,40.29936672423719,5.757052389176741,1.7271157167530224,34.542314335060446,1.9228554979850314,29936.672423719054,32554.87622337363,211.04202648244097,11.894070236039147,32.780656303972364,70.88082901554404,25.630397236614854,11.514104778353483,533.4599884858952,13787.864133563615,68.7852619458837,36.20034542314335,83.9838802533103,123.77662636729994,1319.8618307426595,929.6603339090385,2588.3707541738627,1806.8278641335635,8874.507772020725,3635.6937248128957,2077.6280944156592,3.43
Milan,23.028209556706965,97.8698906160046,13.81692573402418,6.90846286701209,2.9476108232584917,2.268278641335636,3.4887737478411047,1.8998272884283245,1.7616580310880827,2.8785261945883707,3.4081750143926306,5.2389176741508345,21.047783534830167,14.588370754173862,23.465745538284395,2.9936672423719055,2.4409902130109384,3.1894070236039145,4.0184225676453655,2.5791594703511804,2.3719055843408174,1.9804260218767988,0.5296488198042603,9.211283822682786,2.1646516983304545,7.1387449625791595,2.533103051237766,44.90500863557858,7.944732297063903,2.8785261945883707,63.32757628094415,2.04951065054692,37344.84743811168,36327.000575705235,255.048934945308,11.018998272884282,29.602763385146805,90.2705814622913,37.10995970063327,12.665515256188831,827.0926885434658,18278.341968911915,109.31491076568796,57.570523891767415,108.84283246977547,158.31894070236038,1694.8762233736327,1189.5221646516982,3443.765112262521,2070.040299366724,10757.47841105354,5275.210132412205,2213.6787564766837,3.11
Berlin,17.271157167530223,80.59873344847438,13.81692573402418,5.181347150259067,1.7616580310880827,4.513529073114565,3.753598157743235,3.0166954519286127,1.3010938399539433,2.2337363270005755,3.3621185952792167,4.064478986758779,13.598157743235463,13.022452504317789,18.0195739781232,3.5002878526194587,1.957397812320092,2.8439838802533104,3.097294185377087,2.3143350604490496,1.7386298215313758,1.5428900402993668,0.9902130109383994,6.90846286701209,1.2895797351755902,10.362694300518134,4.605641911341393,72.53886010362694,5.757052389176741,3.2239493379389748,37.99654576856649,1.9689119170984455,33845.71099597006,38936.591824985604,383.9378238341969,20.86355785837651,49.76396085204375,37.39781232009211,34.772596430627516,15.5440414507772,131.12262521588946,12984.617156016118,82.55613126079447,39.0328151986183,97.05238917674151,110.58146229130685,1512.4237190558433,1064.594127806563,2725.008635578584,2031.4219919401264,8246.240644789867,5710.535405872193,3548.2325849165222,3.45
Vienna,21.301093839953943,92.11283822682786,13.81692573402418,6.332757628094416,2.0034542314335058,5.284974093264248,3.7651122625215887,3.316062176165803,1.7386298215313758,2.7403569372481287,2.9476108232584917,4.778353483016695,19.654576856649395,14.335060449050085,24.46747265400115,3.3621185952792167,2.4409902130109384,3.2700057570523886,4.525043177892918,2.222222222222222,2.0379965457685665,2.0379965457685665,0.955670696603339,8.347725964306274,1.4507772020725387,7.484168105929763,3.454231433506045,58.72193436960276,5.526770293609672,2.1876799078871616,46.05641911341393,1.7962003454231432,30500.863557858374,30366.528497409327,332.2970639032815,15.01439263097294,37.08693149107657,41.5083477259643,27.54173862982153,13.81692573402418,365.57282671272304,28227.783534830167,94.63442717328726,40.6678180771445,91.7559009786989,163.3621185952792,1271.7904432930338,920.6102475532526,2401.0247553252734,1598.4340817501438,13601.991940126654,6376.787564766839,3453.2757628094414,3.38
Lisbon,14.968336211859526,57.570523891767415,11.514104778353483,3.454231433506045,2.4525043177892916,2.625215889464594,2.5100748416810594,1.5889464594127805,1.2089810017271156,1.7962003454231432,1.6580310880829014,4.041450777202072,12.227979274611398,7.933218192285549,15.970063327576279,2.199194012665515,1.7386298215313758,1.9919401266551524,2.3719055843408174,1.7846862406447899,1.9228554979850314,1.7156016119746689,0.8635578583765112,5.757052389176741,1.2895797351755902,6.678180771445019,2.3028209556706964,46.05641911341393,4.029936672423719,1.1283822682786413,17.040875071963153,2.061024755325273,34597.582037996544,40305.16983304548,174.63442717328726,20.149683362118594,35.93552101324122,48.10592976396085,19.861830742659755,9.211283822682786,608.7392055267703,16631.318364997118,109.74093264248704,49.13068508923431,111.54864709268853,130.4663212435233,1577.4323546344272,1202.5791594703512,2984.8128957973513,1952.7921704087505,7670.3742084052965,4206.102475532527,1575.1640759930915,3.53
