city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)",Domestic Draft Non-Alcoholic Beer (0.5 Liter),Imported Non-Alcoholic Beer (0.33 Liter Bottle),Bottle of Non-Alcoholic Wine (Mid-Range),Domestic Non-Alcoholic Beer (0.5 Liter Bottle),Buffalo Round or Equivalent Back Leg Red Meat (1 kg)
Paris,15.00 €,70.00 €,12.00 €,7.00 €,3.36 €,4.39 €,3.92 €,2.49 €,1.37 €,1.85 €,2.42 €,4.45 €,21.75 €,13.77 €,18.92 €,3.00 €,2.12 €,2.58 €,3.39 €,1.83 €,2.15 €,1.61 €,0.73 €,8.00 €,2.25 €,13.00 €,2.50 €,90.00 €,8.00 €,1.60 €,41.06 €,1.81 €,"30,900.00 €","31,829.17 €",231.99 €,14.32 €,27.84 €,37.20 €,17.20 €,14.00 €,"1,283.50 €","21,275.69 €",96.47 €,42.64 €,101.21 €,137.00 €,"1,359.27 €","1,025.21 €","2,991.67 €","2,020.00 €","12,477.57 €","8,285.45 €","3,356.22 €",3.29,,,,,
London,20.00 £,80.00 £,8.50 £,6.50 £,3.01 £,4.04 £,2.26 £,1.62 £,1.34 £,1.63 £,1.71 £,3.69 £,8.20 £,7.06 £,13.36 £,2.40 £,1.20 £,2.14 £,2.46 £,1.14 £,1.28 £,1.12 £,1.25 £,10.00 £,2.49 £,17.75 £,3.35 £,200.00 £,4.20 £,2.50 £,38.00 £,1.40 £,"28,895.00 £","30,546.35 £",287.33 £,12.17 £,31.48 £,58.74 £,19.25 £,15.00 £,"1,833.38 £","22,596.71 £",89.21 £,40.00 £,89.35 £,106.00 £,"2,212.50 £","1,720.37 £","3,761.90 £","2,868.46 £","14,373.29 £","7,697.18 £","3,680.55 £",4.69,,,,,
Amsterdam,20.00 €,80.00 €,13.50 €,6.00 €,2.98 €,3.95 €,3.43 €,2.77 €,1.54 €,2.38 €,2.62 €,4.74 €,12.92 €,12.60 €,20.86 €,3.05 €,2.44 €,2.13 €,3.48 €,1.85 €,1.34 €,1.23 €,1.37 €,6.00 €,1.70 €,13.00 €,3.40 €,95.00 €,4.15 €,3.00 €,40.00 €,1.98 €,"36,990.00 €","34,159.17 €",257.88 €,19.79 €,49.23 €,51.68 €,31.94 €,15.00 €,"2,568.63 €","17,743.50 €",81.70 €,42.19 €,97.06 €,107.22 €,"2,205.77 €","1,652.00 €","3,436.95 €","2,602.63 €","9,319.43 €","6,280.96 €","4,422.05 €",3.41,,,,,
Barcelona,15.00 €,60.00 €,12.00 €,4.00 €,2.22 €,2.62 €,2.30 €,1.62 €,1.07 €,1.72 €,1.58 €,4.11 €,13.39 €,7.61 €,15.67 €,2.65 €,1.86 €,1.89 €,2.45 €,1.83 €,1.67 €,1.32 €,0.75 €,6.50 €,1.21 €,6.25 €,2.65 €,22.00 €,3.00 €,1.86 €,29.95 €,1.52 €,"31,500.00 €","27,600.00 €",156.69 €,16.20 €,33.00 €,49.36 €,17.50 €,10.00 €,664.21 €,"13,948.47 €",71.88 €,32.71 €,90.62 €,98.89 €,"1,450.78 €","1,108.92 €","2,263.00 €","1,710.42 €","6,057.16 €","4,202.50 €","2,069.10 €",3.24,,,,,
Madrid,15.00 €,60.00 €,10.50 €,3.50 €,2.09 €,2.59 €,2.75 €,1.77 €,1.10 €,1.36 €,1.63 €,3.44 €,16.63 €,7.94 €,16.39 €,2.42 €,2.17 €,2.34 €,2.51 €,1.84 €,1.94 €,1.22 €,0.88 €,7.50 €,1.26 €,6.00 €,1.50 €,35.00 €,3.20 €,1.35 €,25.75 €,1.58 €,"30,000.00 €","28,493.33 €",176.79 €,16.27 €,29.61 €,44.84 €,14.46 €,10.00 €,610.59 €,"15,318.00 €",88.11 €,34.95 €,90.95 €,104.71 €,"1,269.64 €","1,001.67 €","2,420.84 €","1,572.02 €","7,961.66 €","3,975.82 €","2,220.69 €",3.17,,,,,
Rome,15.00 €,60.00 €,10.00 €,5.00 €,2.44 €,1.99 €,2.47 €,1.32 €,1.59 €,1.78 €,2.66 €,4.25 €,14.84 €,10.42 €,17.49 €,2.27 €,2.04 €,2.13 €,1.95 €,1.49 €,1.66 €,1.17 €,0.49 €,4.00 €,1.39 €,6.20 €,1.50 €,35.00 €,5.00 €,1.50 €,30.00 €,1.67 €,"26,000.00 €","28,273.91 €",183.29 €,10.33 €,28.47 €,61.56 €,22.26 €,10.00 €,463.31 €,"11,974.76 €",59.74 €,31.44 €,72.94 €,107.50 €,"1,146.30 €",807.41 €,"2,248.00 €","1,569.23 €","7,707.51 €","3,157.60 €","1,804.42 €",3.43,,,,,
Milan,20.00 €,85.00 €,12.00 €,6.00 €,2.56 €,1.97 €,3.03 €,1.65 €,1.53 €,2.50 €,2.96 €,4.55 €,18.28 €,12.67 €,20.38 €,2.60 €,2.12 €,2.77 €,3.49 €,2.24 €,2.06 €,1.72 €,0.46 €,8.00 €,1.88 €,6.20 €,2.20 €,39.00 €,6.90 €,2.50 €,55.00 €,1.78 €,"32,434.00 €","31,550.00 €",221.51 €,9.57 €,25.71 €,78.40 €,32.23 €,11.00 €,718.33 €,"15,874.74 €",94.94 €,50.00 €,94.53 €,137.50 €,"1,472.00 €","1,033.10 €","2,990.91 €","1,797.83 €","9,342.87 €","4,581.52 €","1,922.58 €",3.11,,,,,
Berlin,15.00 €,70.00 €,12.00 €,4.50 €,1.53 €,3.92 €,3.26 €,2.62 €,1.13 €,1.94 €,2.92 €,3.53 €,11.81 €,11.31 €,15.65 €,3.04 €,1.70 €,2.47 €,2.69 €,2.01 €,1.51 €,1.34 €,0.86 €,6.00 €,1.12 €,9.00 €,4.00 €,63.00 €,5.00 €,2.80 €,33.00 €,1.71 €,"29,395.00 €","33,816.43 €",333.45 €,18.12 €,43.22 €,32.48 €,30.20 €,13.50 €,113.88 €,"11,277.14 €",71.70 €,33.90 €,84.29 €,96.04 €,"1,313.54 €",924.60 €,"2,366.67 €","1,764.29 €","7,161.86 €","4,959.60 €","3,081.64 €",3.45,,,,,
Vienna,18.50 €,80.00 €,12.00 €,5.50 €,1.74 €,4.59 €,3.27 €,2.88 €,1.51 €,2.38 €,2.56 €,4.15 €,17.07 €,12.45 €,21.25 €,2.92 €,2.12 €,2.84 €,3.93 €,1.93 €,1.77 €,1.77 €,0.83 €,7.25 €,1.26 €,6.50 €,3.00 €,51.00 €,4.80 €,1.90 €,40.00 €,1.56 €,"26,490.00 €","26,373.33 €",288.60 €,13.04 €,32.21 €,36.05 €,23.92 €,12.00 €,317.50 €,"24,515.83 €",82.19 €,35.32 €,79.69 €,141.88 €,"1,104.55 €",799.55 €,"2,085.29 €","1,388.24 €","11,813.33 €","5,538.24 €","2,999.17 €",3.38,,,,,
Lisbon,13.00 €,50.00 €,10.00 €,3.00 €,2.13 €,2.28 €,2.18 €,1.38 €,1.05 €,1.56 €,1.44 €,3.51 €,10.62 €,6.89 €,13.87 €,1.91 €,1.51 €,1.73 €,2.06 €,1.55 €,1.67 €,1.49 €,0.75 €,5.00 €,1.12 €,5.80 €,2.00 €,40.00 €,3.50 €,0.98 €,14.80 €,1.79 €,"30,048.00 €","35,005.04 €",151.67 €,17.50 €,31.21 €,41.78 €,17.25 €,8.00 €,528.69 €,"14,444.30 €",95.31 €,42.67 €,96.88 €,113.31 €,"1,370.00 €","1,044.44 €","2,592.31 €","1,696.00 €","6,661.72 €","3,653.00 €","1,368.03 €",3.53,,,,,
