city,food_budget,food_mid,food_comfort,transport_budget,transport_mid,transport_comfort,accommodation_budget,accommodation_mid,accommodation_comfort,extras_budget,extras_mid,extras_comfort,entertainment_budget,entertainment_mid,entertainment_comfort,total_budget,total_mid,total_comfort
Paris,48.848569434752264,72.1097929751105,122.12142358688067,5.815305885089556,20.70248895091882,37.217957664573156,15.898425990540439,47.69527797162131,105.39427773900907,0.8490346592230751,5.954873226331705,15.619911607350547,5,20,45,76.41133596960533,166.46243312398232,325.3535705978135
London,65.29348411416262,92.21863220247711,161.55088852988692,9.019924609585352,24.77113624124933,33.79106085083468,30.880811344462394,92.64243403338718,198.57296715131935,1.6828217555196554,7.121701669359181,15.603123317178245,5,20,45,111.87704182373002,236.75390414647276,454.5180398492192
Amsterdam,62.22377297045825,85.48499651081646,139.56734124214933,7.908816003721795,23.203070481507325,31.92602930914166,25.618360859114524,76.85508257734357,171.02969682871986,1.5933938125145384,6.187485461735287,14.770876948127471,5,20,45,102.34434364580909,211.73063503140264,402.2939443281383
Barcelona,48.848569434752264,66.29448709002094,104.675505931612,6.164224238194929,16.14328913700861,21.284019539427774,17.19655733891603,51.58967201674808,112.48972629293634,0.8722958827634334,3.9195161665503604,9.641777157478483,5,20,45,78.08164689462666,157.94696441032798,293.0910289214546
Madrid,47.1039776692254,64.54989532449406,104.675505931612,3.4891835310537336,11.921377064433589,19.016050244242848,15.533379855780414,46.60013956734124,98.44459951926805,1.0234938357757617,4.035822284252151,10.246568969527797,5,20,45,72.15003489183532,147.10723424052105,277.3827246646507
Rome,46.52244708071645,63.968364735985105,104.675505931612,3.4891835310537336,14.53826471272389,26.168876482903002,12.520896332480422,37.56268899744126,88.88113514770878,0.5698999767387765,2.8843917190044195,8.071644568504304,5,20,45,68.10242692098939,138.95371016515466,272.7971621307281
Milan,60.47918120493138,86.64805768783438,148.29030006978368,5.117469178878809,21.86555012793673,38.61363107699465,16.02078002636272,48.06234007908815,114.13507017135768,0.5350081414282392,2.8262386601535243,8.641544545243079,5,20,45,87.15243855160114,179.4021865550128,354.68054586337905
Berlin,48.848569434752264,72.1097929751105,122.12142358688067,9.304489416143289,24.889509188183297,33.72877413351942,14.338218190276809,43.01465457083042,101.84849189734047,1.0002326122354035,5.559432426145615,13.910211677134217,5,20,45,78.49150965340777,165.5733891602698,316.6089012948748
Vienna,56.989997673877646,81.99581297976273,139.56734124214933,6.978367062107467,19.190509420795536,27.797162130728076,12.399007521128944,37.19702256338683,85.64394820500891,0.9653407769248662,6.303791579437078,15.445452430797861,5,20,45,82.33271303403892,164.68713654338217,313.45390400868416
Lisbon,41.8702023726448,55.82693649685973,87.22958827634334,4.6522447080716445,12.142358688066992,17.91114212607583,16.19663487632783,48.58990462898348,106.22625416763589,0.8722958827634334,3.5240753663642703,8.711328215864153,5,20,45,68.5913778398077,140.08327518027446,265.0783127859192
Athens,45.35938590369853,62.805303558967196,104.675505931612,2.7913468248429867,10.583856710862992,19.190509420795532,8.132278824532838,24.39683647359851,48.73458943940451,0.9420795533845081,5.0360548964875544,11.746917887880901,5,20,45,62.22509110645887,122.82205163991625,229.34752267969293
Dublin,60.47918120493138,89.55571063037917,157.013258897418,4.6522447080716445,14.596417771574785,23.5519888346127,28.37869271923703,85.13607815771108,167.6413119330077,2.1284019539427774,7.059781344498721,15.07327285415213,5,20,45,100.63852058618284,216.34798790416374,408.27983251919056
Brussels,61.64224238194929,84.9034659223075,139.56734124214933,5.815305885089556,15.119795301232847,19.53942777390091,14.815228347677754,44.44568504303326,89.35178723734201,1.151430565247732,5.640846708536868,13.47987904163759,5,20,45,88.42420717996434,170.10979297511045,306.9384352950299
