city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)",avg_food,avg_transport,avg_accommodation,avg_entertainment
Paris,16.304347826086957,76.08695652173913,13.043478260869565,7.608695652173913,3.652173913043478,4.771739130434782,4.260869565217391,2.706521739130435,1.4891304347826086,2.010869565217391,2.6304347826086953,4.836956521739131,23.641304347826086,14.967391304347824,20.565217391304348,3.260869565217391,2.3043478260869565,2.8043478260869565,3.6847826086956523,1.9891304347826086,2.3369565217391304,1.75,0.7934782608695652,8.695652173913043,2.4456521739130435,14.130434782608695,2.717391304347826,97.82608695652173,8.695652173913043,1.7391304347826086,44.630434782608695,1.9673913043478262,33586.95652173913,34596.92391304347,252.16304347826087,15.565217391304348,30.26086956521739,40.434782608695656,18.695652173913043,15.217391304347826,1395.1086956521738,23125.749999999996,104.8586956521739,46.34782608695652,110.01086956521738,148.91304347826087,1477.4673913043478,1114.358695652174,3251.8152173913045,2195.6521739130435,13562.57608695652,9005.923913043478,3648.065217391304,3.29,16.85248447204969,27.7445652173913,1295.9130434782608,17.98913043478261
London,25.31645569620253,101.26582278481013,10.759493670886075,8.227848101265822,3.8101265822784804,5.113924050632911,2.860759493670886,2.050632911392405,1.6962025316455696,2.0632911392405062,2.1645569620253164,4.670886075949367,10.379746835443036,8.936708860759493,16.91139240506329,3.0379746835443036,1.5189873417721518,2.708860759493671,3.113924050632911,1.4430379746835442,1.620253164556962,1.4177215189873418,1.5822784810126582,12.658227848101266,3.151898734177215,22.468354430379748,4.240506329113924,253.1645569620253,5.3164556962025316,3.1645569620253164,48.10126582278481,1.7721518987341771,36575.94936708861,38666.26582278481,363.70886075949363,15.40506329113924,39.848101265822784,74.35443037974683,24.367088607594937,18.987341772151897,2320.73417721519,28603.430379746835,112.92405063291137,50.63291139240506,113.1012658227848,134.1772151898734,2800.632911392405,2177.683544303797,4761.898734177215,3630.9620253164558,18194.037974683546,9743.26582278481,4658.9240506329115,4.69,21.27848101265823,66.47151898734177,2489.158227848101,28.55696202531646
Amsterdam,21.73913043478261,86.95652173913044,14.67391304347826,6.521739130434782,3.2391304347826084,4.293478260869565,3.7282608695652173,3.010869565217391,1.6739130434782608,2.5869565217391304,2.847826086956522,5.1521739130434785,14.043478260869565,13.695652173913043,22.673913043478258,3.3152173913043477,2.652173913043478,2.3152173913043477,3.782608695652174,2.010869565217391,1.4565217391304348,1.3369565217391304,1.4891304347826086,6.521739130434782,1.8478260869565215,14.130434782608695,3.695652173913043,103.26086956521739,4.510869565217392,3.260869565217391,43.47826086956522,2.152173913043478,40206.52173913043,37129.53260869565,280.30434782608694,21.51086956521739,53.510869565217384,56.17391304347826,34.71739130434783,16.304347826086957,2791.9891304347825,19286.41304347826,88.80434782608695,45.85869565217391,105.5,116.54347826086956,2397.5760869565215,1795.6521739130435,3735.815217391304,2828.945652173913,10129.815217391304,6827.130434782608,4806.576086956522,3.41,19.41304347826087,28.682065217391305,2096.6141304347825,21.380434782608695
Barcelona,16.304347826086957,65.21739130434783,13.043478260869565,4.3478260869565215,2.4130434782608696,2.847826086956522,2.4999999999999996,1.7608695652173914,1.1630434782608696,1.8695652173913042,1.7173913043478262,4.467391304347826,14.554347826086957,8.271739130434783,17.032608695652172,2.8804347826086953,2.0217391304347827,2.0543478260869565,2.6630434782608696,1.9891304347826086,1.8152173913043477,1.434782608695652,0.8152173913043478,7.065217391304348,1.3152173913043477,6.7934782608695645,2.8804347826086953,23.913043478260867,3.260869565217391,2.0217391304347827,32.55434782608695,1.6521739130434783,34239.13043478261,30000.0,170.31521739130434,17.60869565217391,35.869565217391305,53.65217391304348,19.02173913043478,10.869565217391305,721.9673913043479,15161.380434782608,78.13043478260869,35.55434782608695,98.5,107.48913043478261,1576.9347826086955,1205.3478260869565,2459.782608695652,1859.1521739130435,6583.869565217391,4567.934782608695,2249.0217391304345,3.24,14.641304347826088,8.019021739130434,1391.141304347826,18.98369565217391
Madrid,16.304347826086957,65.21739130434783,11.41304347826087,3.8043478260869565,2.2717391304347823,2.8152173913043477,2.9891304347826084,1.9239130434782608,1.1956521739130435,1.4782608695652175,1.7717391304347825,3.7391304347826084,18.07608695652174,8.630434782608695,17.815217391304348,2.6304347826086953,2.358695652173913,2.543478260869565,2.728260869565217,2.0,2.108695652173913,1.326086956521739,0.9565217391304347,8.152173913043478,1.3695652173913042,6.521739130434782,1.6304347826086956,38.04347826086956,3.4782608695652173,1.4673913043478262,27.989130434782606,1.7173913043478262,32608.695652173912,30971.010869565216,192.16304347826085,17.684782608695652,32.18478260869565,48.73913043478261,15.717391304347826,10.869565217391305,663.6847826086956,16650.0,95.77173913043478,37.98913043478261,98.8586956521739,113.81521739130433,1380.0434782608695,1088.7717391304348,2631.3478260869565,1708.7173913043478,8653.978260869564,4321.54347826087,2413.7934782608695,3.17,14.517080745341614,11.154891304347826,1234.407608695652,17.891304347826086
Rome,16.304347826086957,65.21739130434783,10.869565217391305,5.434782608695652,2.652173913043478,2.1630434782608696,2.6847826086956523,1.434782608695652,1.7282608695652173,1.934782608695652,2.891304347826087,4.619565217391304,16.130434782608695,11.326086956521738,19.010869565217387,2.467391304347826,2.217391304347826,2.3152173913043477,2.119565217391304,1.6195652173913042,1.8043478260869563,1.2717391304347825,0.5326086956521738,4.3478260869565215,1.5108695652173911,6.739130434782608,1.6304347826086956,38.04347826086956,5.434782608695652,1.6304347826086956,32.608695652173914,1.8152173913043477,28260.86956521739,30732.510869565216,199.2282608695652,11.228260869565217,30.94565217391304,66.91304347826087,24.195652173913043,10.869565217391305,503.5978260869565,13016.04347826087,64.93478260869566,34.17391304347826,79.28260869565217,116.84782608695652,1245.978260869565,877.6195652173913,2443.478260869565,1705.6847826086955,8377.728260869566,3432.173913043478,1961.3260869565217,3.43,14.172360248447202,11.684782608695652,1061.7989130434783,21.891304347826086
Milan,21.73913043478261,92.39130434782608,13.043478260869565,6.521739130434782,2.782608695652174,2.141304347826087,3.293478260869565,1.793478260869565,1.6630434782608696,2.717391304347826,3.2173913043478257,4.945652173913043,19.869565217391305,13.771739130434781,22.152173913043477,2.8260869565217392,2.3043478260869565,3.010869565217391,3.7934782608695654,2.4347826086956523,2.239130434782609,1.8695652173913042,0.5,8.695652173913043,2.043478260869565,6.739130434782608,2.391304347826087,42.391304347826086,7.5,2.717391304347826,59.78260869565217,1.934782608695652,35254.34782608695,34293.47826086956,240.77173913043475,10.402173913043478,27.945652173913043,85.21739130434783,35.03260869565217,11.956521739130434,780.7934782608696,17255.152173913044,103.19565217391303,54.347826086956516,102.75,149.45652173913044,1600.0,1122.9347826086955,3250.9891304347825,1954.1630434782608,10155.29347826087,4979.913043478261,2089.760869565217,3.11,19.27173913043478,13.75,1361.4673913043478,28.097826086956523
Berlin,16.304347826086957,76.08695652173913,13.043478260869565,4.891304347826087,1.6630434782608696,4.260869565217391,3.543478260869565,2.847826086956522,1.2282608695652173,2.108695652173913,3.1739130434782608,3.83695652173913,12.83695652173913,12.293478260869565,17.01086956521739,3.3043478260869565,1.8478260869565215,2.6847826086956523,2.9239130434782608,2.184782608695652,1.641304347826087,1.4565217391304348,0.9347826086956521,6.521739130434782,1.2173913043478262,9.782608695652174,4.3478260869565215,68.47826086956522,5.434782608695652,3.043478260869565,35.869565217391305,1.8586956521739129,31951.086956521736,36756.989130434784,362.445652173913,19.695652173913043,46.97826086956521,35.30434782608695,32.826086956521735,14.67391304347826,123.78260869565216,12257.760869565216,77.93478260869566,36.847826086956516,91.61956521739131,104.3913043478261,1427.7608695652173,1005.0,2572.467391304348,1917.7065217391303,7784.630434782608,5390.869565217391,3349.6086956521735,3.45,16.717391304347828,20.32608695652174,1216.3804347826085,15.34782608695652
Vienna,20.10869565217391,86.95652173913044,13.043478260869565,5.978260869565217,1.891304347826087,4.989130434782608,3.5543478260869565,3.1304347826086953,1.641304347826087,2.5869565217391304,2.782608695652174,4.510869565217392,18.554347826086957,13.532608695652172,23.09782608695652,3.1739130434782608,2.3043478260869565,3.08695652173913,4.271739130434782,2.0978260869565215,1.9239130434782608,1.9239130434782608,0.9021739130434782,7.880434782608695,1.3695652173913042,7.065217391304348,3.260869565217391,55.43478260869565,5.217391304347825,2.0652173913043477,43.47826086956522,1.6956521739130435,28793.478260869564,28666.66304347826,313.69565217391306,14.17391304347826,35.01086956521739,39.18478260869565,26.0,13.043478260869565,345.1086956521739,26647.641304347828,89.33695652173913,38.391304347826086,86.6195652173913,154.2173913043478,1200.5978260869565,869.0760869565216,2266.619565217391,1508.9565217391303,12840.576086956522,6019.826086956521,3259.967391304348,3.38,18.954968944099377,16.4945652173913,1034.836956521739,16.52173913043478
Lisbon,14.130434782608695,54.347826086956516,10.869565217391305,3.260869565217391,2.3152173913043477,2.478260869565217,2.369565217391304,1.4999999999999998,1.141304347826087,1.6956521739130435,1.5652173913043477,3.8152173913043472,11.543478260869565,7.489130434782608,15.076086956521738,2.076086956521739,1.641304347826087,1.8804347826086956,2.239130434782609,1.684782608695652,1.8152173913043477,1.6195652173913042,0.8152173913043478,5.434782608695652,1.2173913043478262,6.304347826086956,2.1739130434782608,43.47826086956522,3.8043478260869565,1.0652173913043477,16.08695652173913,1.9456521739130435,32660.86956521739,38048.95652173913,164.85869565217388,19.02173913043478,33.92391304347826,45.41304347826087,18.75,8.695652173913043,574.6630434782609,15700.32608695652,103.59782608695652,46.380434782608695,105.30434782608695,123.16304347826086,1489.1304347826085,1135.2608695652175,2817.728260869565,1843.4782608695652,7241.0,3970.6521739130435,1486.9891304347825,3.53,12.358695652173914,12.630434782608694,1312.195652173913,15.701086956521738
